buseness_id,category,yelp_rating,number_of_reviews
swWoF0TciIWmsxZFI2-H7g,American (New),4.5,27
7wc3OsRq0FxCtnTlpI1j_Q,Latin American,4.0,46
72PQGMhrEcIuWH-S44TprA,Asian Fusion,4.0,1381
0Jg0XmblNFayUIKbhfqTFA,Japanese,4.5,57
e-j7nwzNSjVUGetQ_YLGng,Mexican,4.0,376
Okf2Qd9wVqpTN-aFScqbXw,Chinese,4.5,176
qK6-BkVJE5bEm39XL8kJaw,American (New),4.5,56
cFTq5MmBDPb_VEqQXPw2Dw,Sushi Bars,4.0,1304
0dIF4OMuWzq1ltvBVb-WeQ,Italian,4.0,701
wfhMIiMh2A2psCGONOVSlg,Szechuan,4.0,991
z-ktitNH3yv_VJnSc56qtA,American (New),4.0,237
Iibvx0wqkx0qmlQvmqXcCw,Indian,4.0,72
Fd3uoo0U-OcFCp1YqF6oiw,Sushi Bars,4.0,18
GvNGRgJ7XL4PB2JmOh46Wg,Italian,4.0,458
VC7VTddnZmY6RQoLQd_49A,Italian,4.0,222
CwOAKJdX8AMz5iAoA-ZEuA,American (Traditional),4.0,314
y5iRrweISUHMnATpBGr6uQ,Indian,4.0,121
EszW8hcVF8qeVGexnUqYNg,Indian,4.0,120
srjmpCWPGHn2TTshSk2-NQ,Diners,4.5,64
WtE8V9Tg8crGqErRtMePWQ,Sushi Bars,4.5,132
WziqGmt6LHfwfbh_R3aJug,American (New),4.0,480
MiTuey9Pdc2haG9KQgmU7Q,Chinese,3.5,109
nikHMPArO0qCbfW5txuohA,Indian,4.0,200
0R7R40JyTGJke6Jbm9NY9Q,Chinese,4.0,8
2B4bC4w4PDC8Pj53SfTG2g,Indian,4.5,45
FLf4fbh3P3cXbxAxyl99YQ,Halal,4.0,124
qDoSNKNSEsS5KlG4Bzz67Q,Japanese,4.0,664
3fV1JsA8tkhULXAT4O3-_w,Indian,3.5,285
RMNdJkdMe7jGMQC0ckBlrg,Seafood,4.0,47
zAHzitys-ncDZi0nVW_qsw,Chinese,4.0,104
Hi8MM6Nf8SnG6K6o8gFmpA,American (New),4.0,115
AyFeVY91iPANf78-onl4Nw,Vegetarian,4.5,125
Z74-TYAK_NerZhVRc5GOGw,American (New),4.5,215
d8dmY12J6t7iY0T3kST3FA,Coffee & Tea,4.0,48
gXPrfBmt1uWSSusXw_FfEQ,Pizza,4.5,74
AJQPQo-irGPz9danTaz9iA,Bars,4.5,6
AScoRXoWMVPhGmnmq39Njg,Chinese,4.5,33
0EtZ1xhnXWp4-ysNVwItYA,American (New),4.0,656
Qc76mnZ143a6zECJXFoI7Q,American (Traditional),3.5,10
o2NldqAc1oAw69nS_4pVzA,Mexican,4.0,412
B-NQjTjaIPURVtpUQe0-3w,American (Traditional),4.0,1386
svFST6fsBctnkNx72x0YFA,Sushi Bars,4.0,100
5Pr8HMe3t76HB0OgETPiMA,Mexican,3.0,126
-sUf12Imjs68dBrmELiwzQ,Ramen,4.0,213
Rj-7ymdw8aNZBRqGRAjR3Q,Mexican,4.0,723
4w1nxpaQceyjAeWIerbSqA,Indian,3.5,125
isw3cS3hOKdKeBgi3lF3-A,American (Traditional),4.5,113
n3pvwUbU7uylefOrf1VINw,American (New),4.0,35
uHPFdSyJFDwiEI82CBQDRg,Mediterranean,4.0,1264
ktY-9JK39v47YdLJDC4PsA,American (New),4.0,35
QzZl1JbOiL6VZ0FVEkkeFQ,Indian,4.5,208
xu-5zv35rITBrIw_OYzhfA,Gastropubs,4.0,38
fXA9hf0IfVRtvSEc9mxnPw,Dim Sum,4.0,700
zYiPaRzO4QUONEalqhXKeQ,Chinese,4.5,142
LCryiTK3rDijIzmR8atdqA,American (New),4.0,89
9LCY2F98AV45IZA0Y4rXoQ,Afghan,4.5,135
2_LFOYXjTK50sNZ7t9oXqA,Tacos,4.0,410
kJzQ8fAphzaW9lxRlM3qMQ,Sushi Bars,3.0,45
1ZEUvoDlg7ixlwwlK2a3mQ,Korean,4.5,191
_TN0qs315ms9VMKENeF7Ig,Pakistani,3.0,55
qTicP3qlsW6zqLV7P1Uz_g,Asian Fusion,4.0,204
XmUNmnxvpvDHHvFqjuqdvw,Sushi Bars,4.0,46
1D5L9sU3wb9J5baiw9Zqyw,Fast Food,4.5,48
dNgXcjOwdXCW_OzpFkK2Cw,Mexican,4.0,117
GMoWhsXZ3qMevtnAD33ysA,Pizza,3.5,48
MTsUZtVBF_wX-sC1io0q8A,Indian,4.0,28
Pl_BSZM-dS1R9v29H0hV_Q,Japanese,4.0,58
5l_ZpB2bF8f8cAEgA9G4sQ,Italian,4.0,357
iOPdZwEVAT412tbLuKnHew,Korean,4.5,26
FhUSaYpCSi7P_Hby760r5w,American (New),4.5,93
PIC3URoS728clY5Cw6RTGw,American (New),4.0,452
dFVoTVJBEpFxf3SRJQ6a0g,American (New),4.5,268
Eca_-0_bOdceLLpin-fz9A,Korean,3.5,209
AzKpn-5ILskrmzRGxN0jwg,Pizza,4.0,135
fWABYDe4AZEkfeNJIu7CTg,Italian,4.5,98
KnCehsO-rbHKw-cWUZZ1Hg,Mexican,4.0,74
Gf46avXx1X4RyI8ZjN9Dvg,Italian,4.5,25
5eq56X-e9YbAKmHgUOyXSg,Chinese,4.0,116
1yn8JgYo6G30FzAW0jSmjA,Indian,3.5,104
jb24l2x-9oSun1tn94h0Qg,Korean,4.0,235
IpKCgQU9nJo75dLD9aA13w,Pizza,4.5,54
pH0BLkL4cbxKzu471VZnuA,Asian Fusion,4.0,2197
nlwomMElt7sDwF_njfEEIw,Sushi Bars,3.5,90
9PDYEiQciq_4BmbYryAYcw,American (Traditional),4.5,36
0Ro0-D1SALH5507zeKWV6w,Mexican,4.0,311
FHIgybBztWLi58ti5K4CNQ,Asian Fusion,4.0,148
EEkDIU7v8Fc_vk4TZIMjvw,Vietnamese,4.0,47
SJy51U18u3zJ_TccSKpPdQ,Seafood,4.0,108
8-cBsSXmLaGK6qCD0tmcZg,American (New),4.0,741
BRv5b6DmzuaLKA-2F32iKA,Burgers,4.5,298
G5Eq92IZ-GRWFGnUdLQvsw,Chinese,4.0,24
75Nxl8jwhUmaYinioKKvVA,Chinese,3.5,89
IYjewF06wF6I1bYvNrO79g,Indian,4.0,419
o3zrpOE9yubY3L4B_arHhg,Ramen,4.0,100
rZja3qKdGQmJPj_xPtXjdw,Breweries,3.0,278
MUmOoa2Zg2B2qBq1VHTNaA,Korean,4.0,198
wWt320NYdKjlPqoHfIDosQ,Bars,4.0,40
9wHPyzkvSut9-8pzCGvk5Q,Korean,4.5,72
OcfPXbhI0N9AmMCpWKSH7w,Italian,4.0,107
OgSWCm3isRafeFLh4arg6Q,Mexican,3.5,133
8Z82-6yfZ7laspyTf6tYCA,Pizza,4.0,321
Eng53R4ZvchGfwtxjkyiGg,Italian,4.0,48
GNS4Yi2739Zp4NCyUmuZGA,Szechuan,4.0,121
yWo56XpafZMNUoNPdbAD9w,Mexican,2.5,141
457rB-piltkliX81ApG5aw,Korean,4.5,196
dl5LWMiI_EIjqBov6YTXag,Korean,3.5,72
Pea3trq5xAkGDiGGc7LodQ,Szechuan,3.5,164
mU3vlAVzTxgmZUu6F4XixA,American (New),4.0,1050
KpXQz5-LftUyJo4Vu40a5A,Beer Bar,5.0,78
AKkhM3OVjXrjESmsc_KZmA,Chinese,4.0,676
cm4KHmgiL-Wj0AnD3MYmeg,Grocery,4.5,8
17Pvr_u1h4EFVV94TZI6ng,Chinese,4.0,87
RjELMSrh2DuTBJQ4YpzXUA,Chinese,3.5,42
MQn2g69S6G-gDT6ngbK_pQ,Mediterranean,4.5,4
7QMLBYH66rs-e7PyB9fSzA,Indian,4.0,720
60bgJi6Kj-4H8KYiAVUKBg,American (New),4.0,114
