buseness_id,category,yelp_rating,number_of_reviews,recommended
v7GH_fTmGQGbjB4ignVnqA,Italian,4.5,307,1
1uFRbr6B-BiNGtT90sdk0w,American (New),4.5,313,1
XmcJuedxXv8Lh1MufHgOnA,American (Traditional),4.5,1343,1
svJWwW0ilssyqk_UML0mUg,American (New),4.5,1030,1
BDRVlHnK4l0T0ANb7M-Eqg,Mexican,4.5,1762,1
QeKutcDiKOjY1-jta4E6uA,Italian,4.5,528,1
9548JKYa6XyWcg9sKae_zg,Laotian,4.5,1102,1
VpVmd_qXec76rDkPI_Yohg,Latin American,4.5,688,1
vAzVWlsBPJx4nDNJb3cVEw,Indian,4.5,427,1
DIaqHj5X2PqchesClMMSQA,American (New),4.5,313,1
RXWC1xK49ESoeKthTb1uWg,Korean,4.5,830,1
DJek3FUewBzMc0gS-Gms9w,Gastropubs,4.5,3434,1
C0oehMtQSl_JOKWIX6ORzQ,Italian,4.5,929,1
4p1bXdMdETmyU5qhzFxNxw,American (New),4.5,801,1
9w-LZEkP1hf363G-OYvKDg,Tacos,4.5,992,1
g9g_ztaRGoj-4ndHzyPT-Q,Italian,4.5,845,1
HJKGDdibWWWVA2yt2O2SOA,Mexican,4.5,325,1
CDU5lREYullH2odNng9zIg,Italian,4.5,327,1
8aUAFZSENBgdC17hPpKp5g,Asian Fusion,4.5,533,1
o0DaPvRb4IWH7hUWVCnoGw,Italian,4.5,480,1
hggVnGwA5042-ABxqeJX-A,American (New),4.5,588,1
aqNd1SaHTNGATIOy24sYxQ,Italian,4.5,586,1
RdBYD7CyZ4436wNGV_--Ag,American (Traditional),4.5,455,1
Yos2lyyDZy2Aw8fX9v4Wgw,Indian,4.5,424,1
n3sKOKoEk_gKhBvgfIwZaA,Pizza,4.5,1723,1
u8MBitab9__SZfVSS52C8Q,Japanese,4.5,454,1
JHXpBb3H51uQqORbkdpPmw,Mexican,4.5,1415,1
zFaHweOJ40jjtvpGTjlspw,Sushi Bars,4.5,1970,1
_EVmzq7iXsfxXhDdHx9t9g,Indian,4.5,929,1
fk6vtNl11lZltbvYMn7W5A,Pizza,4.5,373,1
jmwasbZfgj3honf79qKsnA,Mexican,4.5,431,1
8kh6Z3c8UHQKmsy0_TbOnA,Seafood,4.5,761,1
hihud--QRriCYZw1zZvW4g,Japanese,4.5,3519,1
23Qrcz2i9e2e8MstUIIO0A,Japanese,4.5,1298,1
MGYbITlEe6e5n9ECn31gZg,Italian,4.5,408,1
zXAv5ul5nRJZp3AGq9BzKA,Italian,4.5,428,1
R1sIqGfKpF5f3HV3vyNsbg,American (Traditional),4.5,319,1
7IDWYYG1OnKrPAJix80zxg,Indian,4.5,547,1
WEo9LlR_SD_z_JBHhFhBug,Mexican,4.5,1675,1
YBmk31pBPukmnRyioe5uBA,Sushi Bars,4.5,3379,1
1hjazVsXqcNVyi8iNMLmyg,Seafood,4.5,556,1
IT_QP3xE5L9blAmBEvL07Q,Sandwiches,4.5,618,1
vP_Rkh68ohANnCL-nXED6Q,Gastropubs,4.5,461,1
MfkZSdJ0w4-SOLJiEyHU5A,Asian Fusion,4.5,663,1
Meww6RIE4cFL_kG0aRlbAA,Barbeque,4.5,506,1
h1R2iKYdm2lwukzMJvJqDw,Korean,4.5,1095,1
